Epoch,Average Training Error,Average Validation Error
0,114.56646728515625,113.41059875488281
1,72.25007629394531,98.38890075683594
2,64.79644012451172,92.03589630126953
3,60.552528381347656,88.71199798583984
4,58.24268341064453,86.13999938964844
5,56.4831428527832,84.53679656982422
6,55.18621826171875,83.39129638671875
7,54.32259750366211,82.34339904785156
8,53.53696823120117,81.48839569091797
9,53.16911315917969,80.85070037841797
10,52.70363235473633,80.27159881591797
11,51.96701431274414,79.74259948730469
12,51.53547286987305,79.3781967163086
13,51.266937255859375,78.94829559326172
14,50.727996826171875,78.55189514160156
15,50.31864547729492,78.39540100097656
16,49.86796951293945,77.99749755859375
17,49.28525924682617,77.78450012207031
18,48.654869079589844,77.6156997680664
19,48.19476318359375,77.33739471435547
