Epoch,Average Training Error,Average Validation Error
0,113.94221496582031,113.3167953491211
1,71.76387786865234,98.29019927978516
2,64.60566711425781,91.96839904785156
3,60.921958923339844,88.40129852294922
4,58.384708404541016,86.05419921875
5,57.00539016723633,84.57609558105469
6,55.783084869384766,83.37889862060547
7,54.6561279296875,82.34729766845703
8,54.27473831176758,81.71019744873047
9,53.427207946777344,80.83769989013672
10,53.02989959716797,80.20399475097656
11,52.308067321777344,79.85869598388672
12,51.887367248535156,79.4280014038086
13,51.6253776550293,79.06759643554688
14,51.190452575683594,78.7616958618164
15,50.77510452270508,78.39149475097656
16,50.06486892700195,78.16609954833984
17,49.71939468383789,77.80329895019531
18,49.251312255859375,77.71409606933594
19,48.722900390625,77.37449645996094
20,48.36640548706055,77.25920104980469
21,47.95804214477539,77.09159851074219
22,47.53327941894531,76.97309875488281
23,46.965572357177734,76.71939849853516
24,46.513092041015625,76.6239013671875
25,46.226829528808594,76.6593017578125
26,45.6359748840332,76.37590026855469
27,45.27084732055664,76.18920135498047
28,44.98154067993164,76.27690124511719
29,44.6637077331543,76.00309753417969
30,44.15106964111328,75.90789794921875
31,43.85471725463867,75.72589874267578
32,43.483192443847656,75.67340087890625
33,42.95138931274414,75.4843978881836
34,42.797698974609375,75.53450012207031
35,42.32748031616211,75.36849975585938
36,41.7789306640625,75.21060180664062
37,41.440914154052734,75.22109985351562
38,40.96232604980469,75.0835952758789
39,40.531982421875,74.9365005493164
40,40.34132766723633,74.92139434814453
41,39.9765625,74.86959838867188
42,39.60031509399414,74.8136978149414
43,39.40742874145508,74.65370178222656
44,38.91079330444336,74.74009704589844
45,38.51361083984375,74.63510131835938
46,38.22669219970703,74.47789764404297
47,37.79226303100586,74.54409790039062
48,37.469844818115234,74.43730163574219
49,36.97898483276367,74.39839935302734
