Epoch,Average Training Error,Average Validation Error
0,73.97020721435547,92.86349487304688
1,48.41844940185547,82.63199615478516
2,42.60574722290039,78.37229919433594
3,39.341949462890625,75.7802963256836
4,37.5932502746582,74.06649780273438
5,36.32286834716797,72.97599792480469
6,35.83440017700195,72.09459686279297
7,35.17726516723633,71.410400390625
8,34.694705963134766,70.97639465332031
9,33.95388412475586,70.46989440917969
10,33.49495315551758,70.15269470214844
11,33.025184631347656,69.96019744873047
12,32.60796356201172,69.77999877929688
13,31.988882064819336,69.529296875
14,31.858549118041992,69.10209655761719
15,31.734689712524414,69.17599487304688
16,31.186416625976562,69.07339477539062
17,30.408584594726562,68.85749816894531
18,29.624738693237305,68.72999572753906
19,29.167530059814453,68.55500030517578
20,28.850954055786133,68.53630065917969
21,28.192453384399414,68.45709991455078
22,27.66850471496582,68.2051010131836
23,27.305448532104492,68.12129974365234
24,27.02460479736328,68.02529907226562
25,26.89752769470215,67.97039794921875
26,26.248342514038086,67.68170166015625
27,25.717411041259766,67.76200103759766
28,25.3033447265625,67.53730010986328
29,24.860857009887695,67.59259796142578
30,24.49648094177246,67.42109680175781
31,24.361814498901367,67.44960021972656
32,24.070940017700195,67.36239624023438
33,23.52827262878418,67.30989837646484
34,23.126649856567383,67.19259643554688
35,22.873926162719727,67.07160186767578
36,22.56801414489746,67.10189819335938
37,22.51704978942871,67.05329895019531
38,22.184629440307617,67.1001968383789
39,21.791812896728516,66.93329620361328
40,21.436899185180664,66.9031982421875
41,21.46270751953125,66.70819854736328
42,21.137813568115234,66.75579833984375
43,20.95063018798828,66.69999694824219
44,20.717220306396484,66.66809844970703
45,20.510587692260742,66.5750961303711
46,20.478673934936523,66.52649688720703
47,20.259016036987305,66.35440063476562
48,20.15958023071289,66.47709655761719
49,19.913482666015625,66.4635009765625
