Epoch,Average Training Error,Average Validation Error
0,53.204612731933594,72.01490020751953
1,29.188602447509766,65.33529663085938
2,23.061452865600586,62.55799865722656
3,20.62779998779297,61.335697174072266
4,19.48611831665039,60.6276969909668
5,18.953861236572266,60.306697845458984
6,18.727476119995117,60.22719955444336
7,18.37891387939453,60.17559814453125
8,18.46776008605957,60.241798400878906
9,18.511999130249023,60.27619934082031
10,18.37407112121582,60.43949890136719
11,18.312299728393555,60.5994987487793
12,18.33211898803711,60.67490005493164
13,18.250022888183594,60.90149688720703
14,18.1767578125,60.83869934082031
15,18.334604263305664,61.005699157714844
16,17.950252532958984,60.964599609375
17,17.8415470123291,61.11899948120117
18,17.89259910583496,61.14099884033203
19,17.717945098876953,61.192996978759766
20,17.717662811279297,61.28369903564453
21,17.77082061767578,61.3213996887207
22,17.532379150390625,61.26279830932617
23,17.592308044433594,61.44989776611328
24,17.60460090637207,61.331600189208984
25,17.565200805664062,61.325199127197266
26,17.417343139648438,61.36009979248047
27,17.53676414489746,61.426597595214844
28,17.047155380249023,61.410797119140625
29,16.90474510192871,61.37189865112305
30,16.890396118164062,61.3838996887207
31,16.976980209350586,61.3484001159668
32,16.81000518798828,61.394798278808594
33,16.85240936279297,61.26350021362305
34,16.75925636291504,61.5010986328125
35,16.82989501953125,61.312599182128906
36,16.584598541259766,61.19349670410156
37,16.523557662963867,61.21449661254883
38,16.58098030090332,61.294097900390625
39,16.657276153564453,61.293800354003906
40,16.71881866455078,61.293296813964844
41,16.494352340698242,61.233497619628906
42,16.513790130615234,61.278297424316406
43,16.639751434326172,61.40919876098633
44,16.658756256103516,61.4047966003418
45,16.501117706298828,61.12799835205078
46,16.571218490600586,61.20240020751953
47,16.435100555419922,61.18000030517578
48,16.504638671875,61.20069885253906
49,16.622127532958984,61.16069793701172
