Epoch,Average Training Error,Average Validation Error
0,173.39634704589844,147.7736053466797
0,119.57538604736328,137.90460205078125
0,109.8545913696289,133.76280212402344
0,105.92449951171875,132.514404296875
0,104.5367202758789,132.18809509277344
0,103.68035125732422,131.71449279785156
0,102.97276306152344,131.56199645996094
0,102.45223999023438,131.49049377441406
0,101.85981750488281,131.44729614257812
0,101.34391784667969,131.3531951904297
0,100.9346694946289,131.33680725097656
0,100.3825912475586,131.0919952392578
0,99.85428619384766,131.0207061767578
0,99.5091781616211,130.98309326171875
0,98.99642181396484,130.65919494628906
0,98.48702239990234,130.63429260253906
0,98.2083969116211,130.7147979736328
0,97.85633087158203,130.39410400390625
0,97.70296478271484,130.34030151367188
0,97.1934814453125,130.4093017578125
0,96.81224822998047,130.25970458984375
0,96.62660217285156,130.20770263671875
0,96.53594207763672,130.2147979736328
0,96.1741943359375,129.7902069091797
0,95.89595031738281,129.8448944091797
0,95.68164825439453,129.73300170898438
0,95.5086898803711,129.5343017578125
0,95.39142608642578,129.50369262695312
0,95.19340515136719,129.35789489746094
0,95.00218200683594,129.4174041748047
0,95.05524444580078,129.35870361328125
0,94.89623260498047,129.48440551757812
0,94.54174041748047,129.05149841308594
0,94.57525634765625,129.1226043701172
0,94.32158660888672,128.84930419921875
0,94.14010620117188,128.84860229492188
0,94.18014526367188,128.83770751953125
0,94.06472778320312,128.68609619140625
0,93.93083953857422,128.8751983642578
0,93.73346710205078,128.69740295410156
0,93.55675506591797,128.53570556640625
0,93.53072357177734,128.32479858398438
0,93.41127014160156,128.53390502929688
0,93.34949493408203,128.31790161132812
0,93.14305114746094,128.06509399414062
0,93.05034637451172,128.0482940673828
0,92.96258544921875,128.09930419921875
0,93.06690979003906,128.05630493164062
0,92.98741912841797,128.09080505371094
0,92.97203063964844,127.9115982055664
0,92.86065673828125,127.8551025390625
0,92.7720947265625,127.8219985961914
0,92.76541137695312,127.77940368652344
0,92.56768798828125,127.7938003540039
0,92.4462890625,127.79769897460938
0,92.48433685302734,127.61360168457031
0,92.47129821777344,127.55130004882812
0,92.43450164794922,127.31529998779297
0,92.22747039794922,127.37419891357422
0,92.36488342285156,127.28820037841797
0,92.0914077758789,127.38349914550781
0,92.18509674072266,127.12319946289062
0,92.2216796875,127.24960327148438
0,92.17938995361328,127.15470123291016
0,92.05375671386719,127.16580200195312
0,91.86036682128906,126.78369903564453
0,91.8395004272461,126.89530181884766
0,91.79127502441406,126.87670135498047
0,91.88847351074219,126.78690338134766
0,91.74937438964844,126.7063980102539
0,91.78608703613281,126.73860168457031
0,91.54133605957031,126.68499755859375
0,91.57316589355469,126.49530029296875
0,91.56517028808594,126.57479858398438
0,91.46463012695312,126.45539855957031
0,91.45867156982422,126.49320220947266
0,91.5368881225586,126.2885971069336
0,91.3118667602539,126.38960266113281
0,91.30194091796875,126.2323989868164
0,91.33859252929688,126.40850067138672
0,91.44338989257812,126.08149719238281
0,91.30867004394531,126.131103515625
0,91.18111419677734,125.99099731445312
0,91.149169921875,125.8230972290039
0,91.10438537597656,126.0154037475586
0,91.16224670410156,125.9916000366211
0,91.02523803710938,126.01840209960938
0,91.06985473632812,126.01219940185547
0,90.92335510253906,125.96410369873047
0,91.01090240478516,125.9176025390625
0,91.0311050415039,125.71379852294922
0,90.79735565185547,125.67720031738281
0,90.77057647705078,125.71720123291016
0,91.05689239501953,125.62239837646484
0,90.88459777832031,125.61399841308594
0,90.74703216552734,125.54399871826172
0,90.55250549316406,125.56670379638672
0,90.6424331665039,125.72059631347656
0,90.75121307373047,125.5553970336914
0,90.67640686035156,125.10980224609375
