Epoch,Average Training Error,Average Validation Error
0,245.62078857421875,199.0780029296875
0,187.3526611328125,186.65899658203125
0,167.1503143310547,179.86659240722656
0,156.614990234375,175.28700256347656
0,150.30575561523438,171.8406982421875
0,145.70001220703125,169.3135986328125
0,142.26602172851562,166.9503936767578
0,139.3625946044922,165.1992950439453
0,136.94003295898438,163.60659790039062
0,134.9046630859375,161.79200744628906
0,132.92526245117188,160.57400512695312
0,131.3880615234375,159.44070434570312
0,129.91014099121094,158.1573028564453
0,128.60604858398438,157.22950744628906
0,127.48065185546875,156.10589599609375
0,126.22924041748047,155.26519775390625
0,125.23441314697266,154.56900024414062
0,124.34552764892578,153.82229614257812
0,123.42549133300781,152.9420928955078
0,122.64208221435547,152.264404296875
0,121.90145111083984,151.58839416503906
0,121.22673797607422,150.8621063232422
0,120.56773376464844,150.56039428710938
0,119.92975616455078,149.90919494628906
0,119.28539276123047,149.39959716796875
0,118.75328063964844,148.75579833984375
0,118.29103088378906,148.54420471191406
0,117.73683166503906,148.1417999267578
0,117.31163024902344,147.60360717773438
0,116.88249969482422,147.11270141601562
0,116.45614624023438,146.60830688476562
0,116.09197998046875,146.3282012939453
0,115.69700622558594,146.08529663085938
0,115.37017822265625,145.67950439453125
0,115.073974609375,145.4904022216797
0,114.81352233886719,144.9279022216797
0,114.53825378417969,145.022705078125
0,114.24960327148438,144.64300537109375
0,113.81255340576172,144.42520141601562
0,113.66473388671875,144.060302734375
0,113.4222183227539,143.6096954345703
0,113.15093231201172,143.7808074951172
0,112.9338150024414,143.2158966064453
0,112.7026138305664,143.23269653320312
0,112.5711441040039,142.9779052734375
0,112.24150085449219,142.65480041503906
0,112.17145538330078,142.658203125
0,111.91032409667969,142.4521026611328
0,111.6778564453125,142.29519653320312
0,111.58779907226562,142.2469940185547
0,111.46311950683594,141.9022979736328
0,111.28125762939453,141.7144012451172
0,111.13410186767578,141.82029724121094
0,110.970703125,141.5034942626953
0,110.783203125,141.3571014404297
0,110.68943786621094,141.4127960205078
0,110.62452697753906,141.21580505371094
0,110.45452880859375,141.0946044921875
0,110.35592651367188,140.9447021484375
0,110.1775131225586,140.68780517578125
0,110.1166763305664,140.7061004638672
0,109.92491149902344,140.60389709472656
0,109.87458038330078,140.41600036621094
0,109.8369140625,140.53070068359375
0,109.7581558227539,140.23919677734375
0,109.69063568115234,140.185302734375
0,109.56237030029297,140.2008056640625
0,109.3943099975586,140.164794921875
0,109.2916488647461,139.97850036621094
0,109.30692291259766,139.943603515625
0,109.24261474609375,139.88150024414062
0,109.20349884033203,139.9488983154297
0,109.04442596435547,139.6551971435547
0,109.00760650634766,139.56210327148438
0,108.93692016601562,139.29330444335938
0,108.84815979003906,139.4221954345703
0,108.75533294677734,139.41969299316406
0,108.68704223632812,139.1959991455078
0,108.56842803955078,139.44970703125
0,108.65442657470703,139.24639892578125
0,108.5401840209961,139.20249938964844
0,108.40287780761719,139.06619262695312
0,108.4675521850586,139.0825958251953
0,108.35936737060547,138.7447052001953
0,108.24951934814453,138.91720581054688
0,108.15261840820312,138.8809051513672
0,108.14787292480469,138.77259826660156
0,108.0954360961914,138.69659423828125
0,108.09529113769531,138.6927947998047
0,108.00714874267578,138.5780029296875
0,108.00701904296875,138.80580139160156
0,107.95292663574219,138.61000061035156
0,107.92254638671875,138.63059997558594
0,107.80186462402344,138.47450256347656
0,107.83373260498047,138.406005859375
0,107.69508361816406,138.62130737304688
0,107.76536560058594,138.49819946289062
0,107.6513900756836,138.27450561523438
0,107.63002014160156,138.34860229492188
0,107.6890869140625,138.1558074951172
